Entry : 2457 | Name : John Burnside | Subname : Banker | Type: 7 | Static Flags : 16777326 | Beast Family : 0
Entry : 6089 | Name : Harry Burlguard | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6090 | Name : Bartleby | Subname : Drunk | Type: 7 | Static Flags : 14 | Beast Family : 0
Entry : 914 | Name : Ander Germaine | Subname : Warrior Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1324 | Name : Heinrich Stone | Subname : Blade Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1328 | Name : Elly Langston | Subname : Barmaid | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3629 | Name : David Langston | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1327 | Name : Reese Langston | Subname : Tavernkeeper | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1341 | Name : Wilhelm Strang | Subname : Mail Armor Merchant | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 340 | Name : Kendor Kabonka | Subname : Master of Cooking Recipes | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 5482 | Name : Stephen Ryback | Subname : Cooking Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5483 | Name : Erika Tate | Subname : Cooking Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5479 | Name : Wu Shen | Subname : Warrior Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5480 | Name : Ilsa Corbin | Subname : Warrior Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 918 | Name : Osborne the Night Man | Subname : Rogue Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
