Entry : 2289 | Name : Connor McCoy | Subname : Spirit Healer | Type: 7 | Static Flags : 10485862 | Beast Family : 0
Entry : 1650 | Name : Terry Palin | Subname : Lumberjack | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1250 | Name : Drake Lindgren | Subname : General & Trade Supplies | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 294 | Name : Marshal Haggard | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 732 | Name : Murloc Lurker | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 116 | Name : Defias Bandit | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 442 | Name : Tarantula | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 3
Entry : 547 | Name : Great Goretusk | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 5
Entry : 6093 | Name : Dead-tooth Jack | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1863 | Name : Succubus | Subname :  | Type: 3 | Static Flags : 0 | Beast Family : 17
Entry : 395 | Name : Markus | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 794 | Name : Matt | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 97 | Name : Riverpaw Runt | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 252 | Name : Tommy Joe Stonefield | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 255 | Name : Gerard Tiller | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 247 | Name : Billy Maclure | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 250 | Name : Pa Maclure | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 258 | Name : Joshua Maclure | Subname : Vintner | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 251 | Name : Maybell Maclure | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2939 | Name : Jackson Bayne | Subname : Boar Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5437 | Name : Tamed Boar | Subname :  | Type: 1 | Static Flags : 102 | Beast Family : 5
Entry : 5917 | Name : Clara Charles | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 804 | Name : Dana | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 805 | Name : Cameron | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 806 | Name : John | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 811 | Name : Jose | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 807 | Name : Lisa | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 810 | Name : Aaron | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 478 | Name : Riverpaw Outrunner | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 119 | Name : Longsnout | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 5
Entry : 2938 | Name : Aldric Hunter | Subname : Bear Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5433 | Name : Tamed Bear | Subname :  | Type: 1 | Static Flags : 102 | Beast Family : 4
Entry : 963 | Name : Deputy Rainer | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1249 | Name : Quartermaster Hudson | Subname : Armorer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1645 | Name : Quartermaster Hicks | Subname : Master Weaponsmith | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 896 | Name : Veldan Lightfoot | Subname : Leathercrafter | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 955 | Name : Sergeant De Vries | Subname : Morale Officer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 834 | Name : Coyote | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 1
Entry : 454 | Name : Young Goretusk | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 5
Entry : 126 | Name : Murloc Coastrunner | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 117 | Name : Riverpaw Gnoll | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2914 | Name : Snake | Subname :  | Type: 8 | Static Flags : 6 | Beast Family : 0
Entry : 199 | Name : Young Fleshripper | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 7
Entry : 500 | Name : Riverpaw Scout | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 448 | Name : Hogger | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 213 | Name : Starving Dire Wolf | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 1
Entry : 565 | Name : Rabid Dire Wolf | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 1
Entry : 583 | Name : Defias Ambusher | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 100 | Name : Gruff Swiftbite | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 833 | Name : Coyote Packleader | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 1
Entry : 235 | Name : Salma Saldean | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 36 | Name : Harvest Golem | Subname :  | Type: 9 | Static Flags : 0 | Beast Family : 0
Entry : 832 | Name : Dust Devil | Subname :  | Type: 4 | Static Flags : 0 | Beast Family : 0
Entry : 2620 | Name : Prairie Dog | Subname :  | Type: 8 | Static Flags : 6 | Beast Family : 0
Entry : 590 | Name : Defias Looter | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 234 | Name : Gryan Stoutmantle | Subname : The People's Militia | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 821 | Name : Captain Danuvin | Subname : The People's Militia | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 490 | Name : Protector Gariel | Subname : The People's Militia | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 842 | Name : Lumberjack | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 467 | Name : The Defias Traitor | Subname :  | Type: 7 | Static Flags : 38 | Beast Family : 0
Entry : 487 | Name : Protector Bialon | Subname : The People's Militia | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 523 | Name : Thor | Subname : Gryphon Master | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1670 | Name : Mike Miller | Subname : Bread Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2292 | Name : Reginald Berry | Subname : Spirit Healer | Type: 7 | Static Flags : 10485862 | Beast Family : 0
Entry : 843 | Name : Gina MacGregor | Subname : Trade Supplies | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1668 | Name : William MacGregor | Subname : Bowyer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 876 | Name : Protector Leick | Subname : The People's Militia | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 878 | Name : Scout Galiaan | Subname : The People's Militia | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 841 | Name : Harl Cutter | Subname : Woodcrafting Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 870 | Name : Protector Deni | Subname : The People's Militia | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 874 | Name : Protector Korelor | Subname : The People's Militia | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 489 | Name : Protector Dutfield | Subname : The People's Militia | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 820 | Name : Scout Riell | Subname : The People's Militia | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 488 | Name : Protector Weaver | Subname : The People's Militia | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 869 | Name : Protector Dorana | Subname : The People's Militia | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 114 | Name : Harvest Watcher | Subname :  | Type: 9 | Static Flags : 0 | Beast Family : 0
Entry : 233 | Name : Farmer Saldean | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6271 | Name : Mouse | Subname :  | Type: 8 | Static Flags : 6 | Beast Family : 0
Entry : 1109 | Name : Fleshripper | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 7
Entry : 504 | Name : Defias Trapper | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 481 | Name : Defias Footpad | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 582 | Name : Old Blanchy | Subname :  | Type: 8 | Static Flags : 102 | Beast Family : 0
Entry : 237 | Name : Farmer Furlbrow | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 238 | Name : Verna Furlbrow | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 515 | Name : Murloc Raider | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 480 | Name : Rusty Harvest Golem | Subname :  | Type: 9 | Static Flags : 0 | Beast Family : 0
Entry : 589 | Name : Defias Pillager | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 830 | Name : Sand Crawler | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 8
Entry : 502 | Name : Benny Blaanco | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 157 | Name : Goretusk | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 5
Entry : 1292 | Name : Maris Granger | Subname : Skinning Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2795 | Name : Lenny "Fingers" McCoy | Subname : Lockpicking Trainer | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 1339 | Name : Mayda Thane (Needs Vendor List) | Subname : Cobbler | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1395 | Name : Ol' Beasley | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1333 | Name : Gerik Koen | Subname : Two Handed Weapon Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 122 | Name : Defias Highwayman | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 449 | Name : Defias Knuckleduster | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 154 | Name : Greater Fleshripper | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 7
Entry : 2940 | Name : Frank Ward | Subname : Bird Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5436 | Name : Tamed Bird | Subname :  | Type: 1 | Static Flags : 102 | Beast Family : 7
Entry : 6092 | Name : Minor Phantasm | Subname :  | Type: 6 | Static Flags : 50182 | Beast Family : 0
Entry : 124 | Name : Riverpaw Brute | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 452 | Name : Riverpaw Bandit | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 98 | Name : Riverpaw Taskmaster | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 121 | Name : Defias Pathstalker | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 239 | Name : Grimbooze Thunderbrew | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1727 | Name : Defias Worker | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1725 | Name : Defias Watchman | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 824 | Name : Defias Digger | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1726 | Name : Defias Magician | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 594 | Name : Defias Henchman | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 3417 | Name : Living Flame | Subname :  | Type: 4 | Static Flags : 0 | Beast Family : 0
Entry : 619 | Name : Defias Conjurer | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 599 | Name : Marisa du'Paige | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 624 | Name : Undead Excavator | Subname :  | Type: 6 | Static Flags : 0 | Beast Family : 0
Entry : 623 | Name : Skeletal Miner | Subname :  | Type: 6 | Static Flags : 0 | Beast Family : 0
Entry : 601 | Name : Capo the Mean | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 625 | Name : Undead Dynamiter | Subname :  | Type: 6 | Static Flags : 0 | Beast Family : 0
Entry : 1325 | Name : Jasper Fel | Subname : Shady Dealer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 4961 | Name : Dashel Stonefist | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 1211 | Name : Leper Gnome | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1127 | Name : Elder Crag Boar | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 5
Entry : 1201 | Name : Snow Leopard | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 2
Entry : 1196 | Name : Ice Claw Bear | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 4
Entry : 1375 | Name : Marleth Barleybrew | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3162 | Name : Burdrak Harglhelm | Subname : Leatherworker | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1700 | Name : Paxton Ganter | Subname : Brewing Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1697 | Name : Keeg Gibn | Subname : Ale and Wine | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1374 | Name : Rejold Barleybrew | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 727 | Name : Ironforge Mountaineer | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1123 | Name : Frostmane Headhunter | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1120 | Name : Frostmane Troll | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1121 | Name : Frostmane Snowstrider | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1124 | Name : Frostmane Shadowcaster | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1122 | Name : Frostmane Hideskinner | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1126 | Name : Large Crag Boar | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 5
Entry : 1135 | Name : Wendigo | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1134 | Name : Young Wendigo | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1397 | Name : Frostmane Seer | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1131 | Name : Winter Wolf | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 1
Entry : 1138 | Name : Snow Tracker Wolf | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 1
Entry : 1128 | Name : Young Black Bear | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 4
Entry : 5568 | Name : Captured Leper Gnome | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1269 | Name : Razzle Sprysprocket | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1268 | Name : Ozzie Togglevolt | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1199 | Name : Juvenile Snow Leopard | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 2
Entry : 1125 | Name : Crag Boar | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 5
Entry : 1690 | Name : Thrawn Boltar | Subname : Blacksmithing Supplies | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1241 | Name : Tognus Flintfire | Subname : Blacksmith | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1240 | Name : Boran Ironclink | Subname : Armorer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1238 | Name : Gamili Frosthide | Subname : Apprentice Cloth & Leather | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1872 | Name : Tharek Blackstone | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1273 | Name : Grawn Thromwyn | Subname : Weaponsmith | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1245 | Name : Kogan Forgestone | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1228 | Name : Magis Stonemantle | Subname : Mage Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1231 | Name : Grif Wildheart | Subname : Hunter Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1267 | Name : Ragnar Thunderbrew | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1691 | Name : Kreg Bilmn | Subname : General Supplies | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1226 | Name : Maxan Anvol | Subname : Priest Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1247 | Name : Barkeep Belm | Subname : Burly Bartender | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1234 | Name : Hogral Bakkan | Subname : Rogue Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1232 | Name : Azar Stronghammer | Subname : Paladin Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1699 | Name : Gremlock Pilsnor | Subname : Cooking Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2326 | Name : Thamner Pol | Subname : Physician | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1229 | Name : Granis Swiftaxe | Subname : Warrior Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1373 | Name : Jarven Thunderbrew | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1252 | Name : Senir Whitebeard | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6119 | Name : Tog Rustsprocket | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1243 | Name : Hegnar Rumbleshot | Subname : Gunsmith | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5612 | Name : Gimrizz Shadowcog | Subname : Warlock Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1692 | Name : Golorn Frostbeard | Subname : Tradesman | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2296 | Name : Fulgar Iceforge | Subname : Spirit Healer | Type: 7 | Static Flags : 10485862 | Beast Family : 0
Entry : 2878 | Name : Peria Lamenur | Subname : Cat Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5438 | Name : Tamed Cat | Subname :  | Type: 1 | Static Flags : 102 | Beast Family : 2
Entry : 2870 | Name : Henria Derth | Subname : Wolf Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2756 | Name : Grund Drokda | Subname : Survivalist | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1116 | Name : Rockjaw Ambusher | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1115 | Name : Rockjaw Skullthumper | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1679 | Name : Avarus Kharag | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1977 | Name : Senator Mehr Stonehallow | Subname :  | Type: 0 | Static Flags : 102 | Beast Family : 0
Entry : 1355 | Name : Cook Ghilm | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1237 | Name : Kazan Mogosh | Subname : Food & Drink Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1256 | Name : Quarrymaster Thesten | Subname : Miners' League | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1254 | Name : Foreman Stonebrow | Subname : Miners' League | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1701 | Name : Dank Drizzlecut | Subname : Mining Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1358 | Name : Miner Grothor | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1255 | Name : Prospector Gehn | Subname : Explorers' League | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1698 | Name : Frast Dokner | Subname : Apprentice Weaponsmith | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1360 | Name : Miner Grumnal | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2880 | Name : Hurom Juggendolf | Subname : Boar Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1118 | Name : Rockjaw Backbreaker | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1117 | Name : Rockjaw Bonesnapper | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1689 | Name : Scarred Crag Boar | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 5
Entry : 1376 | Name : Beldin Steelgrill | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1694 | Name : Loslor Rudge | Subname : Engineering Supplies | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1377 | Name : Pilot Stonegear | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1378 | Name : Pilot Bellowfiz | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1702 | Name : Bronk Guzzlegear | Subname : Engineering Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5392 | Name : Yarr Hammerstone | Subname : Miner | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6181 | Name : Jordan Stillwell | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2297 | Name : Kerrik Firebeard | Subname : Spirit Healer | Type: 7 | Static Flags : 10485862 | Beast Family : 0
Entry : 5595 | Name : Ironforge Guard | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 6175 | Name : John Turner | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5100 | Name : Fillius Fizzlespinner | Subname : Trade Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2461 | Name : Bailey Stonemantle | Subname : Banker | Type: 7 | Static Flags : 16777326 | Beast Family : 0
Entry : 5099 | Name : Soleil Stonemantle | Subname : Banker | Type: 7 | Static Flags : 16777326 | Beast Family : 0
Entry : 2460 | Name : Barnum Stonemantle | Subname : Banker | Type: 7 | Static Flags : 16777326 | Beast Family : 0
Entry : 5110 | Name : Barim Jurgenstaad | Subname : Reagent Vendor | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5112 | Name : Gwenna Firebrew | Subname : Barmaid | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5111 | Name : Bogrum Firebrew | Subname : Bartender | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5105 | Name : Gilbin | Subname : Light Armor Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5106 | Name : Bromiir Ormsen | Subname : Heavy Armor Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5107 | Name : Mangorn Flinthammer | Subname : Heavy Armor Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5164 | Name : Grumnus Steelshaper | Subname : Blacksmithing Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6031 | Name : Tormus Deepforge | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5101 | Name : Bryllia Ironbrand | Subname : General Goods Vendor | Type: 7 | Static Flags : 96 | Beast Family : 0
Entry : 5104 | Name : Laene Thundershot | Subname : Guns and Ammuntion Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5108 | Name : Raena Flinthammer | Subname : Light Armor Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5103 | Name : Grenil Steelfury | Subname : Weapon Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5102 | Name : Dolman Steelfury | Subname : Weapon Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5109 | Name : Myra Tyrngaarde | Subname : Bread Vendor | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5119 | Name : Hegnar Swiftaxe | Subname : Axe Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5121 | Name : Kelomir Ironhand | Subname : Maces & Staves | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5120 | Name : Brenwyn Wintersteel | Subname : Blade Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5124 | Name : Sognar Cliffbeard | Subname : Meat Vendor | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5127 | Name : Fimble Finespindle | Subname : Leatherworking Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5128 | Name : Bombus Finespindle | Subname : Leatherworking Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5129 | Name : Lissyphus Finespindle | Subname : Light Armor Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6291 | Name : Balthus Stoneflayer | Subname : Skinning Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5125 | Name : Dolkin Craghelm | Subname : Mail Armor Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5126 | Name : Olthran Craghelm | Subname : Heavy Armor Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5116 | Name : Olmin Burningbeard | Subname : Hunter Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5117 | Name : Regnus Thundergranite | Subname : Hunter Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2695 | Name : Sara Balloo | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5605 | Name : Tisa Martine | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 5114 | Name : Bilban Tosslespanner | Subname : Warrior Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1901 | Name : Kelstrum Stonebreaker | Subname : Warrior Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5570 | Name : Bruuk Barleybeard | Subname : Bartender | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5139 | Name : Kurdrum Barleybeard | Subname : Bartender | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5140 | Name : Edris Barleybeard | Subname : Barmaid | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2801 | Name : Tresa Farmountain | Subname : Survival Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5122 | Name : Skolmin Goldfury | Subname : Bow Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5123 | Name : Bretta Goldfury | Subname : Gun Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5137 | Name : Reyna Stonebranch | Subname : Herbalism Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5138 | Name : Gwina Stonebranch | Subname : Herbalism Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5135 | Name : Svalbrad Farmountain | Subname : Cartography Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5178 | Name : Soolie Berryfizz | Subname : Alchemy Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5177 | Name : Tally Berryfizz | Subname : Alchemy Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5134 | Name : Jonivera Farmountain | Subname : Cartography Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
