Entry : 2031 | Name : Young Nightsaber | Subname :  | Display Id : 11454 | Type: 1 | Static Flags : 16 | Beast Family : 2
Entry : 2012 | Name : Gnarlpine Pathfinder | Subname :  | Display Id : 6802 | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2013 | Name : Gnarlpine Avenger | Subname :  | Display Id : 6803 | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 7318 | Name : Rageclaw | Subname :  | Display Id : 6231 | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1993 | Name : Greenpaw | Subname :  | Display Id : 6819 | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 7317 | Name : Oben Rageclaw | Subname :  | Display Id : 6230 | Type: 7 | Static Flags : 138412134 | Beast Family : 0
Entry : 5655 | Name : Robert Gossom | Subname :  | Display Id : 3864 | Type: 6 | Static Flags : 6 | Beast Family : 0
Entry : 5656 | Name : Richard Van Brunt | Subname :  | Display Id : 3862 | Type: 6 | Static Flags : 6 | Beast Family : 0
Entry : 5653 | Name : Tyler | Subname :  | Display Id : 3853 | Type: 6 | Static Flags : 6 | Beast Family : 0
Entry : 5660 | Name : Riley Walker | Subname :  | Display Id : 3863 | Type: 6 | Static Flags : 6 | Beast Family : 0
Entry : 5624 | Name : Undercity Guardian | Subname :  | Display Id : 10699 | Type: 6 | Static Flags : 4194306 | Beast Family : 0
Entry : 5659 | Name : Andrew Hartwell | Subname :  | Display Id : 3859 | Type: 6 | Static Flags : 6 | Beast Family : 0
Entry : 5661 | Name : Brother Malach | Subname :  | Display Id : 3876 | Type: 6 | Static Flags : 102 | Beast Family : 0
Entry : 5679 | Name : Lysta Bancroft | Subname :  | Display Id : 4009 | Type: 6 | Static Flags : 102 | Beast Family : 0
Entry : 5658 | Name : Chloe Curthas | Subname :  | Display Id : 3860 | Type: 6 | Static Flags : 6 | Beast Family : 0
Entry : 5657 | Name : Marla Fowler | Subname :  | Display Id : 3861 | Type: 6 | Static Flags : 6 | Beast Family : 0
Entry : 5654 | Name : Edward | Subname :  | Display Id : 3854 | Type: 6 | Static Flags : 6 | Beast Family : 0
Entry : 4607 | Name : Father Lankester | Subname : Priest Trainer | Display Id : 2626 | Type: 6 | Static Flags : 138412102 | Beast Family : 0
Entry : 10444 | Name : Mallory Welsh | Subname : Polearm Trainer | Display Id : 9808 | Type: 6 | Static Flags : 138412102 | Beast Family : 0
Entry : 5665 | Name : Alyssa Blaye | Subname :  | Display Id : 3883 | Type: 6 | Static Flags : 6 | Beast Family : 0
Entry : 6395 | Name : Sergeant Rutger | Subname : Sergeant | Display Id : 5576 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 5663 | Name : Travist Bosk | Subname :  | Display Id : 3882 | Type: 6 | Static Flags : 6 | Beast Family : 0
Entry : 5662 | Name : Sergeant Houser | Subname : Sergeant | Display Id : 3879 | Type: 6 | Static Flags : 6 | Beast Family : 0
Entry : 5664 | Name : Eldin Partridge | Subname :  | Display Id : 3880 | Type: 6 | Static Flags : 6 | Beast Family : 0
Entry : 5652 | Name : Practice Dummy | Subname :  | Display Id : 3019 | Type: 9 | Static Flags : 1049454 | Beast Family : 0
Entry : 4606 | Name : Aelthalyste | Subname : Priest Trainer | Display Id : 10723 | Type: 6 | Static Flags : 138412102 | Beast Family : 0
Entry : 4595 | Name : Baltus Fowler | Subname : Warrior Trainer | Display Id : 2614 | Type: 6 | Static Flags : 138412102 | Beast Family : 0
Entry : 4594 | Name : Angela Curthas | Subname : Warrior Trainer | Display Id : 2658 | Type: 6 | Static Flags : 138412102 | Beast Family : 0
Entry : 4593 | Name : Christoph Walker | Subname : Warrior Trainer | Display Id : 2620 | Type: 6 | Static Flags : 138412102 | Beast Family : 0
Entry : 4608 | Name : Father Lazarus | Subname : Priest Trainer | Display Id : 2618 | Type: 6 | Static Flags : 138412102 | Beast Family : 0
Entry : 5697 | Name : Theresa | Subname : Gerard's Mindslave | Display Id : 4054 | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2039 | Name : Ursal the Mauler | Subname :  | Display Id : 6818 | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2014 | Name : Gnarlpine Totemic | Subname :  | Display Id : 936 | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2852 | Name : Enslaved Druid of the Talon | Subname :  | Display Id : 4246 | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 3560 | Name : Healing Ward | Subname :  | Display Id : 2030 | Type: 9 | Static Flags : 1099014 | Beast Family : 0
Entry : 2853 | Name : Freed Druid of the Talon | Subname :  | Display Id : 1192 | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 2027 | Name : Timberling Trampler | Subname :  | Display Id : 3034 | Type: 4 | Static Flags : 524288 | Beast Family : 0
Entry : 2029 | Name : Timberling Mire Beast | Subname :  | Display Id : 863 | Type: 4 | Static Flags : 524288 | Beast Family : 0
Entry : 2030 | Name : Elder Timberling | Subname :  | Display Id : 3032 | Type: 4 | Static Flags : 524288 | Beast Family : 0
Entry : 2001 | Name : Giant Webwood Spider | Subname :  | Display Id : 6808 | Type: 1 | Static Flags : 16 | Beast Family : 3
Entry : 7319 | Name : Lady Sathrah | Subname :  | Display Id : 6214 | Type: 1 | Static Flags : 16 | Beast Family : 3
Entry : 2021 | Name : Bloodfeather Matriarch | Subname :  | Display Id : 6813 | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2019 | Name : Bloodfeather Fury | Subname :  | Display Id : 3022 | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 3606 | Name : Alanna Raveneye | Subname : Journeyman Enchanter | Display Id : 1717 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 3519 | Name : Sentinel Arynia Cloudsbreak | Subname :  | Display Id : 1543 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 2015 | Name : Bloodfeather Harpy | Subname :  | Display Id : 3021 | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2018 | Name : Bloodfeather Sorceress | Subname :  | Display Id : 2296 | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2017 | Name : Bloodfeather Rogue | Subname :  | Display Id : 6812 | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 8026 | Name : Thyn'tel Bladeweaver | Subname :  | Display Id : 7275 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 7411 | Name : Spirit of Sathrah | Subname :  | Display Id : 6213 | Type: 1 | Static Flags : 0 | Beast Family : 0
Entry : 7316 | Name : Sister Aquinne | Subname : Novice Priestess | Display Id : 6349 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 6128 | Name : Vorlus Vilehoof | Subname :  | Display Id : 2015 | Type: 3 | Static Flags : 0 | Beast Family : 0
Entry : 2166 | Name : Oakenscowl | Subname :  | Display Id : 2567 | Type: 4 | Static Flags : 524288 | Beast Family : 0
Entry : 7916 | Name : Erelas Ambersky | Subname :  | Display Id : 7026 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 7907 | Name : Daryn Lightwind | Subname : Cenarion Lore Keeper | Display Id : 7025 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 3607 | Name : Androl Oakhand | Subname : Fisherman | Display Id : 1718 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 10118 | Name : Nessa Shadowsong | Subname : Fishing Supplies | Display Id : 9344 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 3838 | Name : Vesprystus | Subname : Hippogryph Master | Display Id : 1931 | Type: 7 | Static Flags : 4194374 | Beast Family : 0
Entry : 2231 | Name : Pygmy Tide Crawler | Subname :  | Display Id : 1000 | Type: 1 | Static Flags : 524304 | Beast Family : 8
Entry : 2185 | Name : Darkshore Thresher | Subname :  | Display Id : 992 | Type: 1 | Static Flags : 268697600 | Beast Family : 0
Entry : 6887 | Name : Yalda | Subname :  | Display Id : 5745 | Type: 7 | Static Flags : 4194310 | Beast Family : 0
Entry : 10085 | Name : Jaelysia | Subname : Stable Master | Display Id : 9294 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4190 | Name : Kyndri | Subname : Baker | Display Id : 4399 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 2163 | Name : Thistle Bear | Subname :  | Display Id : 1006 | Type: 1 | Static Flags : 16 | Beast Family : 4
Entry : 6086 | Name : Auberdine Sentinel | Subname :  | Display Id : 4845 | Type: 7 | Static Flags : 4194306 | Beast Family : 0
Entry : 3666 | Name : Wizbang Cranktoggle | Subname :  | Display Id : 4474 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 6737 | Name : Innkeeper Shaussiy | Subname : Innkeeper | Display Id : 5441 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4192 | Name : Taldan | Subname : Drink Vendor | Display Id : 4405 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 3841 | Name : Caylais Moonfeather | Subname : Hippogryph Master | Display Id : 1932 | Type: 7 | Static Flags : 4194374 | Beast Family : 0
Entry : 10216 | Name : Gubber Blump | Subname :  | Display Id : 9550 | Type: 7 | Static Flags : 407371782 | Beast Family : 0
Entry : 10219 | Name : Gwennyth Bly'Leggonde | Subname :  | Display Id : 9551 | Type: 7 | Static Flags : 138412038 | Beast Family : 0
Entry : 4200 | Name : Laird | Subname : Fish Vendor | Display Id : 9549 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 3644 | Name : Cerellean Whiteclaw | Subname :  | Display Id : 1757 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4191 | Name : Allyndia | Subname : Grocer | Display Id : 4403 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 3583 | Name : Barithras Moonshade | Subname :  | Display Id : 4414 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 2930 | Name : Sentinel Glynda Nal'Shea | Subname :  | Display Id : 2865 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 2913 | Name : Archaeologist Hollee | Subname : Explorers' League | Display Id : 1286 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 8997 | Name : Gershala Nightwhisper | Subname :  | Display Id : 8229 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 1201 | Name : Snow Leopard | Subname :  | Display Id : 954 | Type: 1 | Static Flags : 16 | Beast Family : 2
Entry : 3657 | Name : Sentinel Elissa Starbreeze | Subname :  | Display Id : 2529 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 3701 | Name : Tharnariun Treetender | Subname :  | Display Id : 4485 | Type: 7 | Static Flags : 138412038 | Beast Family : 0
Entry : 4187 | Name : Harlon Thornguard | Subname : Armorer & Shieldsmith | Display Id : 4407 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4186 | Name : Mavralyn | Subname : Leather Armor & Leatherworking Supplies | Display Id : 4406 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 11037 | Name : Jenna Lemkenilli | Subname : Journeyman Engineer | Display Id : 10575 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 6300 | Name : Elisa Steelhand | Subname : Blacksmithing Supplier | Display Id : 5022 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 6297 | Name : Kurdram Stonehammer | Subname : Mining Trainer | Display Id : 5019 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 3702 | Name : Alanndarian Nightsong | Subname :  | Display Id : 4487 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4189 | Name : Valdaron | Subname : Tailoring Supplies | Display Id : 4401 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4183 | Name : Naram Longclaw | Subname : Weaponsmith | Display Id : 4408 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 6298 | Name : Thelgrum Stonehammer | Subname : Mining Supplier | Display Id : 5020 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 6301 | Name : Gorbold Steelhand | Subname : General Trade Supplier | Display Id : 5023 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4193 | Name : Grondal Moonbreeze | Subname : Journeyman Tailor | Display Id : 4400 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4182 | Name : Dalmond | Subname : General Goods | Display Id : 4404 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 6299 | Name : Delfrum Flintbeard | Subname : Journeyman Blacksmith | Display Id : 5021 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 3649 | Name : Thundris Windweaver | Subname :  | Display Id : 1770 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4185 | Name : Shaldyn | Subname : Clothier | Display Id : 4402 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 2070 | Name : Moonstalker Runt | Subname :  | Display Id : 11449 | Type: 1 | Static Flags : 16 | Beast Family : 2
Entry : 2069 | Name : Moonstalker | Subname :  | Display Id : 321 | Type: 1 | Static Flags : 16 | Beast Family : 2
Entry : 3693 | Name : Terenthis | Subname :  | Display Id : 1956 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 2321 | Name : Foreststrider Fledgling | Subname :  | Display Id : 1042 | Type: 1 | Static Flags : 16 | Beast Family : 12
Entry : 6145 | Name : School of Fish | Subname :  | Display Id : 4878 | Type: 8 | Static Flags : 268697606 | Beast Family : 0
Entry : 2234 | Name : Young Reef Crawler | Subname :  | Display Id : 999 | Type: 1 | Static Flags : 524304 | Beast Family : 8
Entry : 2203 | Name : Greymist Seer | Subname :  | Display Id : 3940 | Type: 7 | Static Flags : 268959744 | Beast Family : 0
Entry : 2202 | Name : Greymist Coastrunner | Subname :  | Display Id : 3619 | Type: 7 | Static Flags : 268959744 | Beast Family : 0
Entry : 2232 | Name : Tide Crawler | Subname :  | Display Id : 979 | Type: 1 | Static Flags : 524304 | Beast Family : 8
Entry : 2174 | Name : Coastal Frenzy | Subname :  | Display Id : 245 | Type: 1 | Static Flags : 268697600 | Beast Family : 0
Entry : 7553 | Name : Great Horned Owl | Subname :  | Display Id : 4615 | Type: 1 | Static Flags : 102 | Beast Family : 0
Entry : 10160 | Name : Raging Moonkin | Subname :  | Display Id : 5927 | Type: 1 | Static Flags : 0 | Beast Family : 0
Entry : 10158 | Name : Moonkin | Subname :  | Display Id : 5927 | Type: 1 | Static Flags : 0 | Beast Family : 0
Entry : 10159 | Name : Young Moonkin | Subname :  | Display Id : 9390 | Type: 1 | Static Flags : 0 | Beast Family : 0
Entry : 3650 | Name : Asterion | Subname :  | Display Id : 1771 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 2189 | Name : Vile Sprite | Subname :  | Display Id : 2452 | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2164 | Name : Rabid Thistle Bear | Subname :  | Display Id : 8840 | Type: 1 | Static Flags : 0 | Beast Family : 0
Entry : 2212 | Name : Deth'ryll Satyr | Subname :  | Display Id : 1013 | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2190 | Name : Wild Grell | Subname :  | Display Id : 1015 | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2201 | Name : Greymist Raider | Subname :  | Display Id : 346 | Type: 7 | Static Flags : 268959744 | Beast Family : 0
Entry : 1860 | Name : Voidwalker | Subname :  | Display Id : 1132 | Type: 3 | Static Flags : 6 | Beast Family : 16
Entry : 6133 | Name : Shade of Elura | Subname :  | Display Id : 4958 | Type: 6 | Static Flags : 524288 | Beast Family : 0
Entry : 1434 | Name : Menethil Sentry | Subname :  | Display Id : 2677 | Type: 7 | Static Flags : 4194306 | Beast Family : 0
Entry : 1460 | Name : Unger Statforth | Subname : Horse Breeder | Display Id : 3465 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 1437 | Name : Thomas Booker | Subname :  | Display Id : 3484 | Type: 7 | Static Flags : 4194306 | Beast Family : 0
Entry : 2052 | Name : Nag | Subname :  | Display Id : 908 | Type: 1 | Static Flags : 6 | Beast Family : 0
Entry : 1458 | Name : Telurinon Moonshadow | Subname : Herbalism Trainer | Display Id : 1898 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 1445 | Name : Jesse Halloran | Subname :  | Display Id : 338 | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 1446 | Name : Regina Halloran | Subname :  | Display Id : 252 | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 1482 | Name : Andrea Halloran | Subname :  | Display Id : 3485 | Type: 7 | Static Flags : 4194306 | Beast Family : 0
Entry : 1453 | Name : Dewin Shimmerdawn | Subname : Alchemy Supplies | Display Id : 1895 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 1454 | Name : Jennabink Powerseam | Subname : Tailoring Supplies & Specialty Goods | Display Id : 5033 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 2099 | Name : Maiden's Virtue Crewman | Subname :  | Display Id : 793 | Type: 7 | Static Flags : 4194306 | Beast Family : 0
Entry : 930 | Name : Black Widow Hatchling | Subname :  | Display Id : 368 | Type: 1 | Static Flags : 16 | Beast Family : 3
Entry : 2071 | Name : Moonstalker Matriarch | Subname :  | Display Id : 3031 | Type: 1 | Static Flags : 16 | Beast Family : 2
Entry : 416 | Name : Imp | Subname :  | Display Id : 4449 | Type: 3 | Static Flags : 1048582 | Beast Family : 23
Entry : 3843 | Name : Anaya | Subname :  | Display Id : 1937 | Type: 7 | Static Flags : 620 | Beast Family : 0
Entry : 2324 | Name : Blackwood Windtalker | Subname :  | Display Id : 6820 | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2167 | Name : Blackwood Pathfinder | Subname :  | Display Id : 1010 | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 4307 | Name : Heldan Galesong | Subname : Fisherman | Display Id : 4415 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 2176 | Name : Cursed Highborne | Subname :  | Display Id : 985 | Type: 6 | Static Flags : 0 | Beast Family : 0
Entry : 3639 | Name : Sentinel Tysha Moonblade | Subname :  | Display Id : 1750 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 7015 | Name : Flagglemurk the Cruel | Subname :  | Display Id : 1305 | Type: 7 | Static Flags : 268959744 | Beast Family : 0
Entry : 3254 | Name : Sunscale Lashtail | Subname :  | Display Id : 1744 | Type: 1 | Static Flags : 16 | Beast Family : 11
Entry : 3695 | Name : Grimclaw | Subname :  | Display Id : 913 | Type: 1 | Static Flags : 4194310 | Beast Family : 0
Entry : 7555 | Name : Hawk Owl | Subname :  | Display Id : 6299 | Type: 1 | Static Flags : 102 | Beast Family : 0
Entry : 2177 | Name : Writhing Highborne | Subname :  | Display Id : 5430 | Type: 6 | Static Flags : 0 | Beast Family : 0
Entry : 3667 | Name : Anaya Dawnrunner | Subname :  | Display Id : 1937 | Type: 6 | Static Flags : 0 | Beast Family : 0
Entry : 2178 | Name : Wailing Highborne | Subname :  | Display Id : 10690 | Type: 6 | Static Flags : 0 | Beast Family : 0
Entry : 2165 | Name : Grizzled Thistle Bear | Subname :  | Display Id : 982 | Type: 1 | Static Flags : 16 | Beast Family : 4
Entry : 1131 | Name : Winter Wolf | Subname :  | Display Id : 785 | Type: 1 | Static Flags : 16 | Beast Family : 1
Entry : 3823 | Name : Ghostpaw Runner | Subname :  | Display Id : 802 | Type: 1 | Static Flags : 16 | Beast Family : 1
Entry : 2237 | Name : Moonstalker Sire | Subname :  | Display Id : 11450 | Type: 1 | Static Flags : 16 | Beast Family : 2
Entry : 10157 | Name : Moonkin Oracle | Subname :  | Display Id : 9389 | Type: 1 | Static Flags : 0 | Beast Family : 0
Entry : 2322 | Name : Foreststrider | Subname :  | Display Id : 178 | Type: 1 | Static Flags : 16 | Beast Family : 12
Entry : 2235 | Name : Reef Crawler | Subname :  | Display Id : 981 | Type: 1 | Static Flags : 524304 | Beast Family : 8
Entry : 2233 | Name : Encrusted Tide Crawler | Subname :  | Display Id : 9566 | Type: 1 | Static Flags : 524304 | Beast Family : 8
Entry : 2336 | Name : Dark Strand Fanatic | Subname :  | Display Id : 4217 | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 8996 | Name : Voidwalker Minion | Subname :  | Display Id : 1132 | Type: 3 | Static Flags : 4 | Beast Family : 16
Entry : 2337 | Name : Dark Strand Voidcaller | Subname :  | Display Id : 4230 | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 3660 | Name : Athrikus Narassin | Subname : Cult of the Dark Strand | Display Id : 4413 | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 3661 | Name : Balthule Shadowstrike | Subname :  | Display Id : 2530 | Type: 7 | Static Flags : 138412102 | Beast Family : 0
Entry : 4802 | Name : Blackfathom Tide Priestess | Subname :  | Display Id : 4983 | Type: 7 | Static Flags : 268959744 | Beast Family : 0
Entry : 4803 | Name : Blackfathom Oracle | Subname :  | Display Id : 4976 | Type: 7 | Static Flags : 268959744 | Beast Family : 0
Entry : 7381 | Name : Silver Tabby | Subname :  | Display Id : 5555 | Type: 1 | Static Flags : 102 | Beast Family : 0
Entry : 2168 | Name : Blackwood Warrior | Subname :  | Display Id : 1011 | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1196 | Name : Ice Claw Bear | Subname :  | Display Id : 8840 | Type: 1 | Static Flags : 16 | Beast Family : 4
Entry : 5823 | Name : Death Flayer | Subname :  | Display Id : 2491 | Type: 1 | Static Flags : 16 | Beast Family : 20
